date,close,support,resistance,atr14,buffer,support_hit_h1,support_d2h_h1,resist_hit_h1,resist_d2h_h1,support_hit_h3,support_d2h_h3,resist_hit_h3,resist_d2h_h3,support_hit_h5,support_d2h_h5,resist_hit_h5,resist_d2h_h5
1970-01-01 00:00:00.000002326,42140.28,37500.0,44700.0,1468.3757287986498,84.28056,0,,0,,0,,1,3.0,0,,1,3.0
1970-01-01 00:00:00.000002327,42283.58,37615.86,44700.0,1430.1460338844608,84.56716,0,,0,,0,,1,2.0,0,,1,2.0
1970-01-01 00:00:00.000002328,44179.55,38641.61,44700.0,1471.0877457498566,88.35910000000001,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002329,44946.91,39274.86,44700.0,1489.6736210534384,89.89382,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002330,42845.23,39972.26,45879.63,1722.5540766924785,85.69046,0,,0,,0,,0,,0,,1,5.0
1970-01-01 00:00:00.000002331,44151.1,40222.0,45879.63,1750.643785500159,88.3022,0,,0,,0,,0,,0,,1,4.0
1970-01-01 00:00:00.000002332,44145.11,40222.0,45879.63,1761.8449436787191,88.29022,0,,0,,0,,1,3.0,0,,1,3.0
1970-01-01 00:00:00.000002333,43968.32,40222.0,45879.63,1694.3824477016674,87.93664,0,,0,,0,,1,2.0,0,,1,2.0
1970-01-01 00:00:00.000002334,43929.02,40222.0,45879.63,1638.2479871515484,87.85803999999999,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002335,46951.04,40222.0,45879.63,1812.2295594978664,93.90208,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002336,46110.0,40222.0,47248.99,1913.0224481051619,92.22,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002337,46653.99,40222.0,47972.0,2018.918701811936,93.30798,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002338,46339.16,40542.93,47972.0,2114.9545088253694,92.67832000000001,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002339,42782.73,40542.93,48969.48,2322.1384724807003,85.56546,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002340,42847.99,40542.93,48969.48,2214.9057244463643,85.69597999999999,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002341,41732.35,40542.93,48969.48,2153.769601271624,83.4647,0,,0,,0,,0,,1,5.0,0,
